AGCnr,radeg,decdeg,a,b,zmag,vopt,hiflux,rms,v21,width,widtherr,snr,hisrc,vhelagc, rawrap
93,2.57,30.849445,2.6,2,15.6,4946,10.66,2.7,4952,268,2,54.6,75,4952,2.57
103131,2.575834,39.428059,0,0,0,14457,0,0,0,0,0,0,0,14457,2.575834
101063,2.578333,29.137777,0.5,0.15,17.5,0,1.28,2.8,8051,145,47,8.5,75,8051,2.578333
102563,2.5925,27.757778,0.2,0.1,17,0,1.05,2.2,7321,150,6,8.7,75,7321,2.5925
102747,2.600417,31.400555,0.18,0.08,17.5,0,1.1,2.2,13759,202,10,7.9,75,13759,2.600417
94,2.608333,25.831945,2,1.1,13.9,4583,10.78,2.5,4592,305,12,54.8,75,4592,2.608333
95,2.61,28.987778,1.9,0.15,15.7,7859,5.75,2.4,7852,454,8,23.3,75,7852,2.61
103132,2.63625,29.282499,0,0,0,8308,0,0,0,0,0,0,0,8308,2.63625
96,2.63625,28.996389,1.5,0.6,14.5,0,2.63,2.3,7022,416,22,12,75,7022,2.63625
102627,2.645,24.501944,0.6,0.2,16.5,0,1.18,2.2,11554,177,43,9.1,75,11554,2.645
97,2.649167,28.681665,1.3,0.7,15.6,0,4.7,2.4,8125,622,99,14.2,75,8125,2.649167
102626,2.649584,24.364166,0.3,0.2,16.5,0,1.16,2,14676,150,36,10.6,75,14676,2.649584
102628,2.659167,24.523056,0.3,0.3,16.5,0,1.87,2.3,10214,116,10,16.7,75,10214,2.659167
104683,2.67,21.664999,0.25,0.22,17.5,0,0.7,2.4,6422,64,5,8,75,6422,2.67
98,2.67,32.982502,1.2,0.6,13.9,4788,4.89,2.4,4789,306,14,26.4,75,4789,2.67
100068,2.675,35.852776,0.75,0.4,15.5,6179,2.63,1.9,6157,117,15,29.2,75,6157,2.675
100069,2.68,28.565556,0.6,0.55,15,8651,0.74,1.7,8650,175,23,3.5,52,8651,2.68
