optvel, fluxJy
4218.015571,-0.002931
4223.314543,-0.004133
4228.613699,-0.000191
4233.913041,0.002596
4239.212567,-0.000320
4244.512277,-0.003843
4249.812173,-0.003111
4255.112253,-0.002677
4260.412518,-0.003251
4265.712968,-0.001087
4271.013602,0.000612
4276.314422,0.001163
4281.615426,0.000794
4286.916615,0.000124
4292.217989,0.001381
4297.519548,0.003121
4302.821291,0.003182
4308.123220,0.003242
4313.425333,0.004069
4318.727632,0.001409
4324.030115,-0.000908
4329.332783,-0.000092
4334.635636,0.000632
4339.938674,-0.000446
4345.241897,-0.002128
4350.545305,-0.001029
4355.848897,0.000608
4361.152675,0.001772
4366.456638,0.002569
4371.760786,0.000183
4377.065118,-0.004389
4382.369636,-0.005589
4387.674339,-0.002704
4392.979227,-0.001428
4398.284299,-0.001719
4403.589557,0.000132
4408.895000,0.001299
4414.200628,-0.000280
4419.506441,-0.001751
4424.812439,-0.000407
4430.118623,0.000975
4435.424991,-0.001083
4440.731545,-0.000911
4446.038283,0.000022
4451.345207,-0.000370
4456.652316,0.000091
4461.959610,-0.000319
4467.267089,-0.000030
4472.574753,0.000566
4477.882603,-0.000121
4483.190638,-0.001611
4488.498858,-0.002691
4493.807263,-0.002419
4499.115853,-0.001847
4504.424629,-0.000161
4509.733590,-0.000118
4515.042736,-0.001159
4520.352067,0.000970
4525.661584,0.002600
4530.971285,0.000418
4536.281173,-0.000954
4541.591245,0.001491
4546.901503,0.003391
4552.211946,0.001197
4557.522575,-0.001481
4562.833388,0.000307
4568.144387,0.001455
4573.455572,-0.000447
4578.766942,0.000709
4584.078497,0.002029
4589.390238,0.000718
4594.702164,0.000334
4600.014275,-0.002129
4605.326572,-0.004971
4610.639054,-0.003696
4615.951722,-0.001269
4621.264575,-0.000164
4626.577614,-0.000926
4631.890838,-0.001027
4637.204247,-0.001707
4642.517842,-0.003687
4647.831623,-0.003769
4653.145589,-0.000489
4658.459740,0.003562
4663.774077,0.003487
4669.088600,0.000126
4674.403308,0.000039
4679.718202,0.000223
4685.033281,-0.002336
4690.348546,-0.000849
4695.663996,0.001389
4700.979632,-0.000797
4706.295454,-0.001720
